vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,delayed,delivery_rating,delivery_cost
bike,same day,west,clear,297.0,46.96,8.140358209395124,no,3,1632.7206
ev van,express,central,cold,89.6,47.39,4.513086211334327,no,5,640.17
truck,two day,east,rainy,273.5,26.89,8.580847856583757,no,4,1448.17
ev van,same day,east,cold,269.7,12.69,7.943869261773168,no,3,1486.57
van,two day,north,foggy,256.7,37.02,8.047896031022232,no,4,1394.56
ev bike,express,west,rainy,48.4,33.15,4.501583108790992,yes,3,391.45
scooter,same day,central,clear,198.3,43.79,6.596253037777476,no,3,1222.87
van,same day,north,cold,114.6,42.63,5.2003289820873615,no,3,800.89
van,same day,south,hot,142.4,14.06,4.396003788508549,no,5,854.18
truck,same day,east,foggy,47.1,29.28,3.913818837701956,no,5,423.34
scooter,same day,east,cold,293.2,22.05,7.955055081242966,no,4,1632.15
truck,two day,east,cold,80.4,46.48,4.186415295775691,no,5,541.44
ev van,two day,north,rainy,257.7,20.56,8.000225538653934,no,4,1350.18
bike,express,east,stormy,19.0,3.36,3.925734900281518,yes,1,155.08
ev bike,two day,east,stormy,237.9,24.59,8.567430234029606,no,3,1263.27
ev van,express,north,hot,239.3,11.67,7.008751627846168,yes,3,1281.51
bike,standard,west,stormy,79.0,0.73,4.64234821526629,no,5,397.19
ev bike,standard,central,rainy,170.7,45.62,7.224273443308116,no,5,990.36
van,same day,north,rainy,90.0,33.7,4.722090152923651,no,3,651.1
truck,express,north,rainy,64.0,6.03,3.784042539299789,yes,2,388.09
scooter,two day,east,foggy,185.9,19.1,6.460133370279411,no,4,986.8
scooter,two day,west,stormy,217.9,14.08,8.067297019983888,no,4,1131.74
scooter,same day,north,cold,214.1,40.85,6.847097019248719,no,5,1293.05
bike,standard,central,clear,251.7,34.9,7.347593933657607,no,4,1363.2
van,standard,east,foggy,214.9,5.67,6.2402855937037565,no,5,1091.51
ev van,two day,north,stormy,115.4,0.67,5.331901270677613,no,4,578.59
ev bike,express,east,foggy,293.8,41.03,8.494253408372316,yes,3,1632.7206
scooter,standard,east,clear,286.8,46.67,8.638344122859046,no,3,1574.01
truck,express,south,hot,136.1,48.1,5.119350993889805,no,5,874.8
bike,two day,east,rainy,291.4,6.12,8.732603590776888,no,5,1475.36
bike,standard,south,hot,295.0,19.68,8.078333236859978,no,5,1534.04
truck,same day,central,rainy,223.3,6.29,6.88547159527068,yes,1,1235.37
scooter,express,south,hot,242.5,46.73,7.511643100856443,yes,1,1402.69
ev bike,two day,central,rainy,35.1,22.72,3.409325241597454,no,5,243.66
bike,express,central,stormy,81.8,45.51,5.54446216688955,yes,2,595.53
bike,same day,east,clear,37.6,22.81,3.1913969087549265,no,4,356.43
ev bike,express,north,rainy,46.8,4.72,3.2950857497866712,yes,2,298.16
scooter,same day,central,hot,233.4,18.0,6.752527091905966,no,5,1321.0
bike,standard,east,rainy,62.2,48.58,4.518742190198145,no,3,456.74
ev bike,standard,south,foggy,114.0,43.85,5.029991043394794,no,4,701.55
ev bike,same day,north,foggy,131.5,25.79,4.801870922043649,no,5,834.87
ev van,express,south,rainy,21.4,16.58,3.753388402131879,yes,3,206.74
truck,standard,west,stormy,258.5,8.37,7.888355080213798,no,5,1317.61
van,two day,east,rainy,253.9,7.07,7.920816258017075,no,3,1290.71
ev bike,same day,north,stormy,6.7,7.96,3.5968952060278188,no,4,157.38
ev bike,standard,west,hot,178.1,26.7,6.048553632037912,no,4,970.6
truck,standard,south,hot,180.0,35.04,6.429290663852329,no,3,1005.12
scooter,two day,north,rainy,187.9,14.96,7.015724016121029,no,4,984.38
ev van,express,west,hot,78.3,49.22,4.533632680882856,yes,1,589.16
ev bike,express,west,hot,51.6,23.45,2.8236416084707012,no,4,378.35
ev van,same day,central,stormy,26.9,29.86,3.7944997659215405,no,5,324.08
truck,express,north,hot,216.7,26.89,6.654013190575759,yes,2,1214.17
van,standard,south,foggy,148.2,38.6,5.523561700700293,no,4,856.8
ev van,same day,south,clear,184.2,46.79,6.090348308457374,no,4,1161.37
truck,same day,east,stormy,167.7,42.4,7.088337813160402,no,5,1065.7
ev bike,standard,central,cold,197.7,25.84,6.0504252783390555,no,5,1066.02
ev van,standard,north,foggy,211.9,46.94,7.662701071375318,no,5,1200.32
scooter,same day,west,stormy,64.3,21.05,5.1062215382893985,no,5,484.65
scooter,two day,east,hot,206.7,3.87,5.8908790393834565,no,4,1045.11
bike,two day,east,cold,83.5,6.81,3.728822500701308,no,5,437.93
truck,same day,central,foggy,9.3,47.62,2.747980726109697,no,5,289.36
ev bike,standard,west,rainy,245.9,47.01,8.139724128079845,no,3,1370.53
ev van,express,north,stormy,225.7,45.7,8.586580335931837,yes,2,1315.6
bike,express,east,hot,226.0,37.62,6.978416424817372,yes,2,1292.86
bike,two day,west,hot,113.3,34.03,4.994151443493708,no,5,668.59
ev bike,standard,north,stormy,232.3,41.91,8.170858542006291,no,4,1287.23
scooter,express,east,cold,87.7,22.38,3.5165535753815,yes,2,555.64
van,same day,east,rainy,90.1,27.46,5.194139289987678,no,4,632.88
bike,express,north,rainy,110.4,44.94,5.243149126788466,yes,2,736.82
bike,same day,central,cold,217.3,3.03,6.329157144391065,no,5,1195.59
truck,standard,south,rainy,75.2,28.25,4.944750363697878,no,3,460.75
ev bike,two day,south,hot,23.2,19.18,2.0954935504518035,no,5,173.54
ev van,express,north,rainy,78.5,27.87,4.950547708145518,yes,3,526.11
van,express,north,hot,138.3,47.87,5.630350459838922,yes,3,885.11
truck,two day,north,cold,96.4,39.33,4.630666377978941,no,4,599.99
ev van,standard,west,cold,216.2,23.93,6.394368288890649,no,4,1152.79
van,express,south,stormy,24.1,34.1,3.76638019211177,yes,3,272.8
scooter,standard,east,rainy,197.1,28.23,7.06884186705893,no,4,1070.19
ev bike,same day,west,foggy,94.8,10.02,4.189289377978346,no,4,604.06
bike,express,south,hot,56.0,22.91,2.87827778499829,yes,2,398.73
scooter,same day,east,stormy,70.7,5.72,4.707295192336173,yes,3,470.66
bike,same day,east,rainy,60.4,22.93,4.356133369768595,no,5,470.79
truck,same day,central,stormy,258.4,22.08,8.913828826310993,yes,2,1458.24
scooter,two day,central,cold,89.3,34.98,4.681754097821328,no,4,551.44
van,two day,south,clear,244.0,13.62,6.480010885330345,no,4,1260.86
truck,standard,south,stormy,87.8,19.77,5.488391686701178,no,4,498.31
scooter,same day,east,stormy,3.6,20.7,3.647841145486592,no,4,172.6
van,two day,south,cold,3.6,8.75,1.5480487376197307,no,3,95.6674
van,standard,east,rainy,111.0,36.68,5.239633835953446,no,4,665.04
bike,express,east,rainy,256.4,33.53,8.306166604398392,yes,3,1432.59
ev van,same day,east,foggy,177.9,20.16,5.839474208443493,no,5,1049.98
ev van,two day,east,rainy,204.2,8.09,6.5492535111019725,no,4,1045.27
ev bike,standard,central,cold,125.0,39.41,5.529290396807928,no,5,743.23
bike,two day,north,hot,83.3,34.71,4.350858518287045,no,4,520.63
van,standard,west,foggy,193.2,33.28,6.41044102580511,no,4,1065.84
van,two day,east,foggy,174.3,47.29,6.16863598832244,no,5,1013.37
bike,same day,west,clear,11.4,40.22,2.5921916421931535,no,5,277.66
ev van,express,east,clear,166.4,44.96,5.512048956572303,yes,2,1016.88
van,standard,west,stormy,189.6,38.07,8.027075725691514,no,5,1062.21
truck,express,west,stormy,111.2,37.33,6.0872909050363955,yes,2,717.99
ev bike,same day,west,hot,103.2,37.97,4.810659311224253,no,5,729.91
scooter,standard,east,clear,236.4,47.28,7.318665771725694,no,4,1323.84
van,same day,central,clear,111.9,26.34,4.601902295167621,no,5,738.52
ev van,standard,south,stormy,86.6,20.64,4.725349144332292,no,5,494.92
ev bike,standard,west,clear,235.6,48.07,7.5157522494691085,no,5,1322.21
truck,same day,south,cold,295.5,48.45,8.22930779315857,no,4,1632.7206
truck,two day,west,foggy,56.3,43.65,3.9262481601348744,no,5,412.45
bike,two day,central,stormy,114.2,28.82,6.2273448572241765,no,5,657.46
scooter,same day,north,hot,3.6,31.41,2.535810381207128,no,4,203.23
bike,same day,west,stormy,146.2,22.55,6.13623087953139,yes,2,898.65
ev bike,same day,east,clear,85.6,10.69,3.6032356360294306,no,4,560.07
ev van,express,south,rainy,247.9,5.23,7.7224250407889015,yes,2,1305.19
bike,standard,south,foggy,274.8,0.82,7.978946910438667,no,4,1376.46
scooter,standard,west,clear,35.7,10.8,2.5673633516620162,no,3,210.9
van,express,central,stormy,259.3,27.01,8.407621359053467,yes,1,1427.53
ev bike,same day,south,clear,65.3,45.09,3.761643815312039,no,5,561.77
van,express,south,clear,93.1,20.89,4.24586625222755,no,3,578.17
bike,standard,central,hot,265.8,32.11,7.941890384338754,no,5,1425.33
truck,two day,west,clear,110.2,23.24,4.58574901982407,no,4,620.72
bike,standard,west,clear,6.0,0.88,1.186350286908846,no,4,95.6674
truck,two day,east,foggy,16.5,21.49,2.6900486244289517,no,4,146.97
ev van,standard,north,cold,102.0,18.67,4.016743576941616,no,4,566.01
bike,express,north,rainy,265.4,15.96,7.711136451959895,yes,3,1424.88
ev van,two day,north,foggy,27.5,15.43,3.3216014819359385,no,5,183.79
truck,two day,south,hot,59.5,7.79,3.0347915018128675,no,3,320.87
bike,express,north,cold,290.2,29.26,8.663753839694335,no,4,1588.78
scooter,standard,east,rainy,124.0,40.2,5.851362156077412,no,4,740.6
scooter,two day,north,clear,261.9,41.68,7.1873159298089355,no,4,1434.54
ev van,two day,central,rainy,115.6,13.57,5.041732870707753,no,5,618.71
ev bike,express,east,hot,156.0,14.49,5.106649877512856,no,3,873.47
van,standard,north,foggy,284.1,14.35,7.926701414005538,no,4,1463.55
truck,same day,north,cold,287.0,8.21,7.468063331180887,yes,1,1559.63
van,two day,north,foggy,50.5,31.28,3.874073650235381,no,4,346.34
van,two day,west,foggy,203.3,7.5,5.771893298616018,no,4,1039.0
truck,same day,west,hot,127.8,20.03,4.765472648013227,no,3,799.09
scooter,two day,east,cold,45.8,27.22,3.164072894895466,no,5,310.66
ev bike,same day,west,hot,8.7,33.93,2.827291582522503,no,5,245.29
ev van,standard,north,rainy,152.8,48.37,6.879009438883724,no,4,909.11
ev van,same day,south,rainy,29.0,40.89,4.233497013690824,no,4,367.67
scooter,standard,north,clear,281.6,19.81,8.015855234997023,no,3,1467.43
van,same day,east,stormy,75.7,41.47,4.864121746419424,yes,2,602.91
scooter,standard,north,cold,132.5,14.18,4.863484948601094,no,4,705.04
truck,standard,west,rainy,218.2,34.0,7.5733510340334815,no,5,1193.0
scooter,express,east,rainy,152.8,10.46,6.017001375127531,yes,2,845.38
van,same day,west,cold,113.8,21.95,4.019505834705971,no,3,734.85
bike,standard,east,clear,189.3,30.78,6.288971632120755,no,5,1038.84
truck,two day,north,rainy,60.1,40.63,4.7836061158880625,no,3,422.39
truck,same day,south,foggy,147.7,46.57,5.892151042389198,no,4,978.21
truck,two day,north,cold,289.0,48.99,8.06436104103114,no,4,1591.97
van,express,north,cold,235.6,42.35,7.163251480208782,yes,3,1355.05
ev bike,same day,central,cold,101.1,9.76,4.004392481939043,no,4,634.78
truck,two day,central,cold,273.9,42.56,7.6829922259310175,no,3,1497.18
scooter,standard,north,clear,262.6,29.36,7.110923060832799,no,4,1401.08
van,two day,east,clear,82.2,18.81,4.003290555688738,no,3,467.43
truck,same day,south,cold,280.3,15.29,7.821827750850945,no,4,1547.37
bike,same day,east,foggy,146.1,36.12,5.625815729565748,yes,2,938.86
van,same day,west,clear,279.9,21.63,7.118868854304183,yes,2,1564.39
ev van,same day,south,stormy,165.4,43.2,7.277833577318745,yes,2,1056.6
van,two day,central,cold,29.9,47.31,3.635199236641908,no,3,291.43
truck,standard,north,hot,42.6,44.55,3.6570436088725837,no,4,346.65
ev bike,standard,east,foggy,149.9,23.31,5.6650599152654575,no,4,819.43
scooter,standard,west,rainy,8.4,44.16,3.0770991025199734,no,4,174.48
ev bike,two day,east,hot,230.8,30.01,7.062081023444543,no,4,1244.03
bike,express,west,clear,93.0,9.37,3.695645343964275,no,4,543.11
van,two day,west,clear,10.4,4.59,2.0983728680167504,no,4,95.6674
truck,two day,north,hot,194.9,2.42,5.424479320674108,no,4,981.76
scooter,express,west,rainy,182.1,2.26,5.704650327274576,yes,2,967.28
ev bike,standard,south,clear,38.8,40.89,2.603659561131117,no,4,316.67
bike,two day,north,cold,55.2,6.78,2.8526603786905627,no,3,296.34
truck,express,east,stormy,223.3,44.36,8.793838279180491,yes,1,1299.58
truck,express,west,hot,46.2,14.83,3.4110103507048573,no,5,325.49
ev bike,two day,south,hot,3.6,49.52,2.390703207998643,no,5,163.39
scooter,express,north,hot,297.1,22.0,8.464814742855378,no,5,1615.5
bike,express,central,hot,87.8,7.72,3.905533263713633,no,5,512.16
truck,express,central,hot,267.4,11.53,6.944491555414049,yes,2,1421.59
ev van,two day,east,stormy,124.8,10.84,5.646315095794658,no,4,656.52
ev bike,express,south,clear,288.9,8.3,7.460145341999172,no,4,1519.4
scooter,two day,central,hot,129.5,39.84,5.315865640323487,no,4,767.02
van,same day,south,foggy,225.0,7.32,6.640911682582849,yes,3,1246.96
scooter,standard,south,stormy,289.7,24.36,9.001476131838544,no,5,1521.58
ev bike,standard,south,rainy,85.4,41.07,5.098913651211417,no,4,550.21
truck,same day,east,hot,9.9,30.24,2.213929540906179,no,3,240.22
van,standard,west,hot,135.1,37.59,4.751602271535182,no,5,788.27
bike,standard,south,stormy,228.6,5.64,7.567338535597043,no,4,1159.92
truck,express,north,rainy,169.6,41.44,7.105444974560077,yes,3,1022.32
van,express,central,foggy,250.7,29.97,7.984417890169791,yes,2,1393.41
bike,two day,north,rainy,80.7,0.67,3.8667133264922278,no,4,404.76
scooter,two day,east,stormy,21.3,41.19,4.355204799335436,no,3,230.07
ev bike,two day,north,clear,67.1,32.91,3.147048471674024,no,4,434.23
ev bike,standard,west,foggy,69.4,0.99,3.545366963143244,no,3,349.97
van,two day,south,cold,101.2,39.37,5.043846827144818,no,5,624.11
ev bike,two day,north,rainy,94.2,49.37,4.885980049087033,no,4,619.11
ev bike,same day,north,foggy,71.0,32.56,3.817386696906837,no,3,552.68
truck,two day,east,foggy,37.4,42.36,3.6348057738248034,no,4,314.08
scooter,two day,north,cold,157.0,43.03,5.941658067136103,no,4,914.09
van,same day,east,cold,213.7,49.52,6.980989503807113,no,5,1317.81
ev bike,express,central,cold,272.6,12.84,7.605709285752805,yes,2,1451.52
scooter,express,south,stormy,83.5,24.02,5.169445449639725,yes,2,539.56
